ריבית,אלו תשלומי הריבית השוטפים שממשלת ישראל משלמת כל שנה על החוב שלה. סעיף זה כולל את התשלום על מלוות הפנים (חוב שנלקח מאזרחי מדינת ישראל) ומלוות החוץ (חוב שנלקח מאזרחי העולם).
אנרגיה,"משרד התשתיות הלאומיות, האנרגיה והמים מופקד, בין היתר, על תכנונה ועל ביצועה של המדיניות הלאומית בתחום האנרגיה, המים ותשתית משאבי הטבע במדינת ישראל.

הפעילות הממשלתית בתחום זה מתבטאת בתכנון התפתחותו של משק האנרגיה ומשק המים, בקביעת מדיניות ויישומה במשק הישראלי, בהסדרת המבנה הענפי של התחומים השונים של משק האנרגיה הישראלי, בפיקוח על משק הדלק ומשק החשמל, בהסדרת חיפושי הנפט והגז, בייעול השימוש באנרגיה, בפיתוח מקורות אנרגיה חלופיים ובהכנת משק האנרגיה לשעת חירום.

כמו כן, המשרד עורך מחקרים מקיפים בתחום מדעי האדמה ומפתח תשתיות של מידע טכנולוגי, מדעי וכלכלי לשימוש מגזרי המשק השונים."
בינוי ושיכון,"משרד הבינוי והשיכון פועל בשני מישורים בתחום הדיור:

היצע – פעילות המשרד מכוונת לתכנון ולפיתוח קרקע לצורך שיווקה לבנייה למגורים, במטרה ליצור תנאים להרחבת היצע הדיור בדרך שתאפשר מתן מענה לביקוש. הפעילות כוללת מגווַן רחב של מרכיבים בשרשרת הייצור של דירה: איתור הקרקע, תכנונה ושיווקה; עידוד עיבוי הבנייה במרכזי הערים תוך ניצול מערכת התשתית הקיימת; שדרוג התשתיות הקיימות; ורישום הזכויות במקרקעין. לכל אחד מהמרכיבים השפעה על היקף הפעילות בענף.
ביקוש – הסיוע בדיור מכּוון לתמיכה בזכאים מקרב אוכלוסיות חלשות ומתמקד בשלושה מסלולים עיקריים: מתן משכנתאות מסובסדות, השתתפות בתשלומי שכר דירה והקצאת פתרונות דיור בשיכון הציבורי."
משק המים,"הרשות הממשלתית למיום ולביוב אמונה על ניהול משק המים, ובכלל זה על קביעת כללים לאסדרת המשק וכן על הקצאת המשאבים בתחום. מדיניות משק המים נתונה בידי מועצה (מועצת רשות המים) המורכבת מנציגי משרדי ממשלה בכירים ומנציגי הציבור. בסמכות מועצת רשות המים לקבוע את חקיקת המשנה לפעילות הרשות בנושאים רבים, ביניהם אסדרת משק המים וקביעת תעריפים."
תחבורה,"משרד התחבורה אחראי לפיתוח ולהסדרה של מערכות התחבורה היבשתית, האווירית והימית בישראל.

מערכת התחבורה היא תשתית משקית אשר נועדה לאפשר קישור בין מוקדי הפעילות השונים במדינה ומחוץ לה. ההשקעות בתחבורה מהוות בסיס לקידום הפיתוח הכלכלי של המשק כולו ומאפשרות את התפתחותם של ענפים אחרים, ביניהם ענף הדיור.

יעילות ההשקעות בתחבורה נבחנת במידת תרומתן ליעדים הלאומיים ובהיענותן לצורכי המשק ולצורכי תושבי המדינה.

הרשות הארצית לתחבורה ציבורית במשרד התחבורה והבטיחות בדרכים, היא הגורם המסדיר את ההפעלה של התחבורה הציבורית באוטובוסים, במוניות, במערכות להסעת המונים וברכבת ישראל. כבכל מדינה מתקדמת, שירות זה מסובסד באופן משמעותי על ידי המדינה, שאלמלא כן רמת השירות (מספר הקווים, תדירותם ועוד) הייתה נפגעת מאוד ומחירי הנסיעה היו עולים."
גמלאות,"החבות האקטוארית החשבונאית של המדינה בגין הגמלאים ועובדי המדינה הפעילים, לרבות משרתי הקבע, שוטרים, סוהרים ועובדי הוראה.

תשלומי גמלאות בסעיף 12 - בסעיף זה מתוקצבים תשלומי הקצבאות בהסדרי הפנסיה התקציבית המשולמים מאוצר המדינה בהתאם להוראות הדין ולהסדרים עם תאגידים שהוקמו בחוק ועם חברות ממשלתיות. בדיקת הזכאות ואישור גובה הגמלה נעשים על ידי מנהלת הגמלאות באגף החשב הכללי. החל משנת 2005 מתוקצבים בסעיף הגמלאות, מלבד תשלומי הפנסיה התקציבית, גם הנושאים הבאים: סיוע ממשלתית לקרנות הפנסיה הוותיקות, מימון התחייבות המדינה בגין העלאת גיל הפרגישה מעבודה וסיוע ממשלתי לקרנות הפנסיה הוותיקות שאינן נמנות על קרנות הפנסיה שסבדר, בשל הקטנת היקף אגרות החוב המיועדות."
הוצאות שונות,"סעיף סל שמרכז הוצאות שונות של הממשלה על מגוון נושאים. בין שאר הנושאים אפשר לציין השקעה בפרויקטי מחשוב רוחביים, מימון תכניות הבראה לגופים ציבוריים, תקציבים לרשויות הפיקוח ממשלתיות עצמאיות ועוד."
רזרבה,"על ידי סעיף זה הממשלה שומרת לעצמה כסף בצד להוצאות לא צפויות. שימו לב שבשנים של תקציב דו שנתי נשמרת רזרבה גם למקרה שהתחזיות הכלכליות, שנעשו שנתיים מראש, יתגלו כלא מדויקות."
תיירות,"משרד התיירות ממונה על קידום ושיווק תנועת התיירות לישראל, מקיים פיקוח על שירותי התיירות: בתי מלון, אכסניות ובתי הארחה ואחראי על הכשרת כוח האדם ועל רישוי פרטים וגופים מסחריים העוסקים בענף. כמו כן הוא מרכז את איסוף ופרסום הנתונים הסטטיסטיים בחקר תנועת התיירות אל ישראל ובתוכה, לצורך לימוד והסקת מסקנות אסטרטגיות, וזאת בראיית התיירות כענף כלכלי מרכזי במדינת ישראל וכמקור הכנסה חשוב של מטבע חוץ."
תקשורת,"משרד התקשורת משמש גוף האחראי לאסדרת ענף תקשורת ולפיקוח על הגופים הפועלים בו.

המשרד אחראי ליישום מדיניות הממשלה בנושא התקשורת ולקביעת הכללים שבמסגרתם פועלים הגופים בענף, על תחומי השונים. מאחר שבאופיו משרד התקשורת הוא משרד מטה, רוב תקציבו משמש למימון הוצאות השכר של העובדים, להוצאות תפעול שוטפות, לרכישת שירותי ייעוץ, לעריכת מחקרים וסקרים ולרכישת ציוד לצורך פעילות הפיקוח והאכיפה."
כלכלה ותעשיה,"משרד הכלכלה והתעשייה מופקד על עידוד ענפי התעשייה והמסחר, לרבות עסקים קטנים ובינוניים וקידום סחר החוץ וכן על יישום מדיניות הממשלה להפחתת יוקר המחיה ולהגברת התחרות במשק.

הרשות לחדשנות מופקדת על יישום מדיניות הממשלה לעידוד התעסוקה. משרד הכלכלה והתעשייה, הרשות לחדשנות וכן יחידות התעסוקה במשרד הרווחה והשירותים החברתיים פועלים באמצעים תקציביים, מנהליים, אכיפתיים ותחיקתיים (חקיקת משנה) לצורך מימוש יעדיהם המרכזיים."
חקלאות,"משרד החקלאות ופיתוח הכפר אחראי מטעם הממשלה לחקלאות ולמרחב הכפרי בישראל.

בין פעילויותיות העיקריות ניתן למנות:

תכנון והמלצה על הקצאות גורמי ייצור חקלאיים המצויים במחסור, כגון: קרקע, מים ועובדים זרים ופלסטינים;
הקצאות תמיכות במגוון נושאים, כגון: תכנון פרוגרמות להתיישבות המתוכננות ופרויקטים חקלאיים במסגרת ההתיישבות הקיימת;
יישום הסכמי הסחר של ישראל;
מתן שירותים ופיקוח בתחומי הווטרינריה והגנת הצומח ;
מתן שירותי הדרכה ופיתוח מקצועי ;
קידום המחקר החקלאי בישראל;
ייזום תכנון ופיתוח סטטוטורי של פתרונות התיישבות של הפזורה הבדואית וביצוע הסדרי קרקעות וליווי האוכלוסייה בכל שלבי ההתיישבות (במסגרת הרשות לפיתוח הרשות לפיתוח והתיישבות הבדואים בנגב) והפיתוח החברתי-כלכלי של האוכלוסייה הבדואית בנגב (במסרגת היחידה לשילוב האוכלוסייה הבדואית בנגב)."
הגנת הסביבה,"המשרד להגנת הסביבה פועל בשלוש רמות: ארצית, מחוזית ומקומית.

ברמה הארצית המשרד נושא באחריות לקביעה ולהתוויה של מדיניות סביבתית כולת וכן מקדם הליכי תקינה בתחום.

ברמה המחוזית המשרד פועל באמצעות שישה מחוזות, לפי חלוקה גאוגרפית המקבילה למחוזות משרד הפנים. כל אחד מהמחוזות אחראי ליישום המדיניות המותווית על ידי המטה, בכפוף למאפיינים ולצרכים הסביבתיים הייחודיים של היישובים שבתחום אחריותו.

במסגרת המקומית המשרד תומך בכ-50 יחידות סביבתיות שהוקמו בערים ובאיגודי ערים, לרבות במגזרי המיעוטים, הפעילות ביחידות הסביבתיות מקשרת בין יעדי המדיניות הסביבתיות-לאומית לבין פעולות היומיום בשטח ברמה המקומית. היחידות הסביתיות מוציאות לפועל את המדיניות הסביבתיות ברמה המקומית ומהוות גוף נוסף המייעץ לרשות המקומית בנושאי הגנת הסביבה."
ראש הממשלה,"משרד ראש הממשלה כולל את היחידות הגופים והתחומים הכפופים ישירות לאחריות ראש הממשלה ויחידות וגופים עצמאיים בקביעת תכניות העבודה שלהם וניהול התקציב.

היחידות והגופים הכפופים ישירות לאחריות ראש הממשלה: יועצים לראש הממשלה; האגף לממשל וחברה; האגף לתכנון, תיאום ופנים; אגף הכלכלה והתשתיות; המועצה הלאומית לכלכלה; המועצות להנצחת נשיאים וראשי ממשלה ומרכזי ההנצחה למנחם בגין וליצחק רבין; מטה ההסברה הלאומי; מערך הגיור; מטה התקשוב הממשלתי ועוד.

היחידות והגופים העצמאיים בקביעת תכניות העבודה שלהם ובניהול תקציבם: המשרד לירושלים ומורשת; המשרד לנושאים אסטרטגיים והסברה; המשרד לענייני מודיעין; המשרד לשוויון חברתי; הלשכה המרכזית לסטטיסטיקה; מנהלת תנופה – יישום תכנית ההתנתקות; נציבות שירות המדינה; לשכת הקשר נתיב; המשרד לפיתוח הפריפריה, הנגב והגליל והמשרד לשיתוף פעולה אזורי.

נוסף על יחידות אלו, יחידות המטה לביטחון לאומי, לשכת הפרסום הממשלתי והמדפיס הממשלתי הן יחידות הכפופות למשרד ראש הממשלה, אולם הן מתוקצבות בסעיפים תקציביים נפרדים."
שירותי דת,"עד לשנת 2016 המשרד לשירותי דת היה מתוקצב כחלק מתקציב משרד ראש הממשלה. החל משנה זו המשרד מתוקצב בסעיף תקציבי נפרד, הכולל את המשרד ואת יחידות הסמך הכפופות לו: הרבנות הראשית ובתי הדין הרבניים."
משפטים,"משרד המשפטים הוא גורם ממשלתי מרכזי בפעילות השמק ברמת מתן שירותים לאזרח, אכיפת החוק, ייעול הפעילות הממשלתית והסדרת הפעילות הכלכלית במשק.

המשרד אחראי על מספר גדול של יחידות, ביניהן: הנהלת בתי המשפט, האגך לרישום והסדר מקרקעין, פרקליטות המדינה, הסנגוריה הציבורית, האפוטרופוס הכללי, רשות האכיפה והגבייה (המורכבת מההוצאה לפועל ומהמרכז לגביית קנסות), בתי דין שונים ויחידות וגופים נוספים."
אוצר,"משרד האוצר נחלק למשרד הראשי ולרשות המסים בישראל.

היחידות העיקריות של המשרד הראשי הן:

אגף התקציבים, שמכין את תקציב המדינה ומפקח עליו;
האגף לשכר ולהסכמי עבודה, המנהל משא ומתן עם ועדי העובדים ועם הארגונים המייצגים אותם ומבצע הסכמי עבודה במשק;
אגף הכלכלן הראשי, המגבש מדיניות בתחום הכנסות המדינה ומחקר כלכלי ויוצר קשרים בין-לאומיים כלכליים ועוד.
רשות המסים אחראית לגביית המסים הישירים והעקיפים."
חוץ,"משרד החוץ מופקד על גיבוש מדיניות החוץ של ממשלת ישראל ועל ביצועה בקרב מדינות המקיימות יחסים דיפלומטיים עם מדינת ישראל. משרד החוץ מייצג את המדינה בפני ממשלות זרות, ארגון האומות המאוחדות וארגונים בין-לאומיים נוספים.

על המשרד מוטל להסביר את עמדותיה של מדינת ישראל ברחבי העולם ולפתח שיתופי פעולה עם מדינות אחרות. בנוסף, אחראי המשרד על קידום וטיפוח הקשרים המדיניים והאחרים עם קהילות יהודיות בעולם ועם נציגי דתות אחרות.

המשרד מטפל גם בשמירת זכויותיהם של האזרחים הישראלים השוהים בחו""ל ומסייע להם באמצעות נציגויותיו בחו""ל."
פנים ושלטון מקומי,"משרד הפנים אחראי מטעם הממשלה לנושאים הבאים:

פיקוח על הרשויות המקומיות והכוונת פעולותיהן בהתאם לחוק ולמדיניות הממשלה.
ארגון וניהול הבחירות לרשויות המקומיות והכנת פנקס בוחרים.
פיקוח על אתרי הרחצה ועל רישוי עסקים.
היערכות לשעת חירום ברשויות המקומיות.
מתן שירותי דת וסיוע בשיפוץ ובפיתוח של מבני דת לעדות הלא יהודיות.
שמירה על המאגר הביומטרי."
