קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,הוצאה נטו
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120102,תגמול נצרך ומיוחד,394250
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120103,תגמולים נוספים,357076
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120104,הטבות רכב מאגף שיקום,510138
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120105,הטבות נוספות מאגף שיקום,282482
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120106,טיפול רפואי,498221
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120107,טיפול סוציאלי,55898
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120108,ליווי אישי,705706
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120109,תגמול הורים שכולים,590128
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120110,הטבות הורים שכולים,169542
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120111,תגמולים אלמנות ויתומים,613934
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120112,הטבות אלמנות ויתומים,146459
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120113,חוק אתרי הנצחה,14600
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120114,הנצחה,100852
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120116,רזרבה להתיקרויות העברות,224133
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120117,חמי מרפא,102000
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1513,קורונה - משרד הביטחון,151301,קורונה - משרד הביטחון,15130101,קורונה - משרד הביטחון,15000
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1599,חשבון מעבר,159999,חשבון מעבר,15999999,חשבון מעבר,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500101,"שיא כ""א",54656
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500102,"שיא כ""א - רשות למאבק בסמים, באלימות ובאלכוהול",0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500103,משרות אמון,8271
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500104,כוננויות,2085
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500105,החזר הוצאות רכב,9575
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500106,שעות נוספות,4833
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500107,הוצאות פרישה,820
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500108,"הפחתות - שכר מושאלים מגופי הבט""פ",9100
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500109,סטודנטים,2343
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500110,נופש והוצאות שכר אחרות,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500113,שירות אזרחי ביטחוני ושירות לאומי,2345
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500114,מתמחי ייעוץ משפטי,194
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500116,שכר עידוד,2129
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500117,ייעודה לגיוס עתידי,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500120,שכר מושאלים למשרד,518
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500121,"רב""ק - שיא כח אדם",14663
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500122,"רב""ק-עבודה בלתי צמיתה",5558
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500123,"רב""ק-כוננויות",484
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500124,"רב""ק-החזר הוצאות רכב",2462
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500125,"רב""ק-שעות נוספות",1063
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500126,"רב""ק-שכר עידוד",310
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500127,"רב""ק-סטודנטים",290
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500128,"רב""ק-הוצאות פרישה",300
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500187,יעודה שכר עידוד,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500188,יעודה שעות העסקה,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500190,יעודה לכוננויות,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500191,יעודה תקני רכב,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500192,יעודה שעות נוספות,19200
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500198,"יעודה שיא כ""א",14207
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500199,רזרבה להתיקרויות שכר,5972
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500204,"השתתפות בתכנית המו""פ ובמשרדי ממשלה",0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500205,השתתפות במינהל הרכב הממשלתי,1426
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500206,תפעול,53932
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500208,יעודה פרויקטים,79305
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500210,"תקצוב רשויות מקומיות - הרשות למאבק בסמים, באלימות ובאלכוהול",0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500211,משרד לקידום וחיזוק קהילתי,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500212,קרן בלאי כלי רכב - השתתפות במשטרת ישראל,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500218,שכר דירה - השתתפות במינהל הדיור הממשלתי,3170
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500223,"פרויקטים - השתתפות בגופי הבט""פ",0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500224,דמי שימוש - מינהל הדיור הממשלתי,2847
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500225,בינוי - השתתפות במשטרה,14500
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500228,הוצאות פרסום,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500230,שיטור עירוני - תקצוב רשויות מקומיות,12517
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500231,טייסת כיבוי,46720
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500233,ועדת עזבונות - אפוטרופוס,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500234,תקצוב רשויות מקומיות-הרשות לביטחון קהילתי,66052
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500235,השתתפויות בפעילויות חיצוניות,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500236,"סמים ואלכוהול-מניעת התמכרות, הסברה ומחקר",1043
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500237,תפעול,2888
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500238,השתתפות במנהל הרכב הממשלתי,662
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500239,השתתפות במנהל הדיור הממשלתי,1761
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500240,דמי שימוש ממשלתיים,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500241,רזרבה לתקציב התאמות,10000
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500242,ייעודה לפרויקטים,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75002,קניות,7500299,רזרבה לעמידה ביעד ההוצאה,11498
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550101,"שיא כ""א",23766
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550102,העסקה לפי שעות,6677
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550103,שעות נוספות,1452
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550104,החזר הוצאות רכב,2032
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550105,כוננויות,266
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550106,הוצאות פרישה,290
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550107,"הפחתות - שכר מושאלים מגופי הבט""פ",5294
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550108,שירות לאומי,75
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75501,שכר,7550110,רזרבה להתיקרויות שכר,1437
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75502,קניות,7550202,תפעול,18096
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75502,קניות,7550206,רזרבה לעמידה ביעד ההוצאה,779
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75502,קניות,7550207,השתתפות במינהל הרכב הממשלתי,1018
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75502,קניות,7550208,שכר דירה - השתתפות במינהל הדיור הממשלתי,1960
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,755,הרשות להגנה על עדים,75502,קניות,7550210,השתתפות במשטרת ישראל,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600101,"שיא כ""א - מטה ומינהלה",0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600103,סטודנטים,8709
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600104,החזר הוצאות רכב,45481
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600105,שעות נוספות מטה ומנהלה,25644
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600107,כוננויות,5903
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600108,שירות לאומי,1866
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600110,"הפחתות - שכר מושאלים מגופי הבט""פ",665
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600111,הוצאות פרישה,9677
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600112,שיא כח אדם לוחמי אש,205250
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600113,שיא כח אדם (איגודים),382234
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600114,שיא כח אדם מטה ומנהלה,97297
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600117,הוצאות שכר נלוות,9330
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600118,שעות נוספות לוחמי אש,58061
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600119,שעות נוספות (איגודים),96768
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600194,"יעודה שיא כ""א",48000
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76001,שכר,7600197,רזרבה להתיקרויות שכר,40959
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600201,תפעול ורכש ציוד מינהלי,24365
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600202,תפעול ורכש ציוד מבצעי,40667
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600203,שיפוץ תחנות ותשתיות,3032
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600204,הכשרה ואימונים,7419
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600206,השתתפות במינהל הרכב הממשלתי,50135
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600209,"כלי רכב - דלק, אגרות, בלאי ותיקונים",23402
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600210,דמי שימוש - מינהל הדיור הממשלתי,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600213,השתתפות במינהל הדיור הממשלתי,2766
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600215,השתתפות במשטרת ישראל,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600216,השתתפות במשרד הביטחון,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600217,תוכנית תקציב רב שנתית,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600219,"אחזקת תחנות כיבוי ומבנים (ארנונה, חשמל, מים, ניקיון, אבטחה)",40154
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600220,הוצאות פרסום,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600221,קורונה - הוצאות תפעול ורכש,0
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600227,"משאבי אנוש, גיוס, טקסים וימי יחידה",8420
1,בטחון וסדר ציבורי,12,בטחון פנים,7,המשרד לביטחון הפנים,760,כבאות והצלה,76002,קניות,7600229,רווחה,7572
